ActorBlueprint(id=static.prop.mesh,tags=[mesh, prop, static])
ActorBlueprint(id=static.prop.trashcan01,tags=[trashcan01, prop, static])
ActorBlueprint(id=static.prop.trashbag,tags=[trashbag, prop, static])
ActorBlueprint(id=static.prop.trafficwarning,tags=[trafficwarning, prop, static])
ActorBlueprint(id=static.prop.trafficcone02,tags=[trafficcone02, prop, static])
ActorBlueprint(id=static.prop.trafficcone01,tags=[trafficcone01, prop, static])
ActorBlueprint(id=static.prop.table,tags=[table, prop, static])
ActorBlueprint(id=static.prop.streetbarrier,tags=[streetbarrier, prop, static])
ActorBlueprint(id=static.prop.shoppingtrolley,tags=[shoppingtrolley, prop, static])
ActorBlueprint(id=static.prop.shoppingbag,tags=[shoppingbag, prop, static])
ActorBlueprint(id=static.prop.shoppingcart,tags=[shoppingcart, prop, static])
ActorBlueprint(id=static.prop.plasticchair,tags=[plasticchair, prop, static])
ActorBlueprint(id=static.prop.plantpot08,tags=[plantpot08, prop, static])
ActorBlueprint(id=static.prop.platformgarbage01,tags=[platformgarbage01, prop, static])
ActorBlueprint(id=static.prop.plasticbag,tags=[plasticbag, prop, static])
ActorBlueprint(id=static.prop.plantpot07,tags=[plantpot07, prop, static])
ActorBlueprint(id=static.prop.plantpot05,tags=[plantpot05, prop, static])
ActorBlueprint(id=static.prop.plantpot03,tags=[plantpot03, prop, static])
ActorBlueprint(id=static.prop.plantpot02,tags=[plantpot02, prop, static])
ActorBlueprint(id=static.prop.plantpot01,tags=[plantpot01, prop, static])
ActorBlueprint(id=static.prop.fountain,tags=[fountain, prop, static])
ActorBlueprint(id=static.prop.motorhelmet,tags=[prop, motorhelmet, static])
ActorBlueprint(id=static.prop.maptable,tags=[maptable, prop, static])
ActorBlueprint(id=static.prop.kiosk_01,tags=[kiosk_01, prop, static])
ActorBlueprint(id=static.prop.ironplank,tags=[ironplank, prop, static])
ActorBlueprint(id=static.prop.gnome,tags=[prop, gnome, static])
ActorBlueprint(id=static.prop.gardenlamp,tags=[gardenlamp, prop, static])
ActorBlueprint(id=static.prop.travelcase,tags=[travelcase, prop, static])
ActorBlueprint(id=static.prop.garbage06,tags=[garbage06, prop, static])
ActorBlueprint(id=static.prop.swing,tags=[swing, prop, static])
ActorBlueprint(id=static.prop.garbage04,tags=[garbage04, prop, static])
ActorBlueprint(id=static.prop.garbage01,tags=[garbage01, prop, static])
ActorBlueprint(id=static.prop.dirtdebris03,tags=[dirtdebris03, prop, static])
ActorBlueprint(id=static.prop.dirtdebris01,tags=[dirtdebris01, prop, static])
ActorBlueprint(id=static.prop.creasedbox02,tags=[creasedbox02, prop, static])
ActorBlueprint(id=static.prop.purse,tags=[prop, purse, static])
ActorBlueprint(id=static.prop.guitarcase,tags=[guitarcase, prop, static])
ActorBlueprint(id=static.prop.constructioncone,tags=[constructioncone, prop, static])
ActorBlueprint(id=static.prop.streetfountain,tags=[streetfountain, prop, static])
ActorBlueprint(id=static.prop.streetsign,tags=[streetsign, prop, static])
ActorBlueprint(id=static.prop.container,tags=[container, prop, static])
ActorBlueprint(id=static.prop.clothcontainer,tags=[clothcontainer, prop, static])
ActorBlueprint(id=static.prop.chainbarrierend,tags=[chainbarrierend, prop, static])
ActorBlueprint(id=static.prop.busstop,tags=[busstop, prop, static])
ActorBlueprint(id=static.prop.brokentile02,tags=[brokentile02, prop, static])
ActorBlueprint(id=static.prop.box03,tags=[box03, prop, static])
ActorBlueprint(id=static.prop.box02,tags=[box02, prop, static])
